DATE,y_true,y_diff,MLP_diff,MLP_level,LSTM_diff,LSTM_level,,,
8/1/95,101.8542671,-0.02183428,-0.003134963,1.04E+02,0.004774547,104.5996811,,,
9/1/95,99.99598501,-0.018413003,0.016254839,1.04E+02,0.006284671,102.4943877,,,
10/1/95,103.1216585,0.030779407,0.001134185,1.00E+02,-0.00936791,99.0592316,,,
11/1/95,101.0443836,-0.02034958,0.000174901,1.03E+02,0.000482459,103.1714105,,,
12/1/95,102.4185941,0.013508417,0.000753632,1.01E+02,0.010948169,102.1506346,,,
1/1/96,98.88819681,-0.035078392,-1.29E-05,1.02E+02,-0.008468243,101.5512885,,,
2/1/96,101.4878591,0.02594929,0.064602561,1.05E+02,-0.010139175,97.8855521,,,
3/1/96,99.40456096,-0.020741179,-0.087032542,9.27E+01,-0.003835507,101.0986018,,,
4/1/96,102.696098,0.032576125,-0.003139513,9.91E+01,0.010300905,100.4285179,,,
5/1/96,102.5158982,-0.001756232,0.00232813,1.03E+02,0.010877589,103.813184,,,
6/1/96,102.0253781,-0.004796303,0.025381109,1.05E+02,0.003391229,102.8635531,,,
7/1/96,101.8020151,-0.002191688,-0.000764343,1.02E+02,-0.001922309,101.8292538,,,
8/1/96,102.3104297,0.004981721,-0.003276005,1.01E+02,-0.001318778,101.6677609,,,
9/1/96,101.4569882,-0.008376672,-0.001403278,1.02E+02,-0.002202538,102.0850871,,,
10/1/96,101.5422418,0.000839939,0.00089924,1.02E+02,-0.001291004,101.3260069,,,
11/1/96,103.4344016,0.018462724,-0.003210808,1.01E+02,-0.001500874,101.3898397,,,
12/1/96,99.98419997,-0.033925437,0.000317924,1.03E+02,0.000798234,103.5169664,,,
1/1/97,103.0911632,0.030601503,-0.000600757,9.99E+01,-0.000134911,99.970711,,,
2/1/97,101.2148016,-0.018368669,-0.00024787,1.03E+02,-0.000275688,103.0627421,,,
3/1/97,100.3956974,-0.008125656,-1.62E-06,1.01E+02,-0.000439646,101.170303,,,
4/1/97,100.528471,0.001321629,0.00029602,1.00E+02,-0.000644318,100.3310106,,,
5/1/97,101.5085869,0.009702415,0.000321195,1.01E+02,0.000131415,100.5416819,,,
6/1/97,102.8144559,0.01278257,-0.000125537,1.01E+02,0.001004581,101.6105605,,,
7/1/97,101.2424006,-0.015408318,-0.001187829,1.03E+02,0.000542674,102.8702507,,,
8/1/97,102.856782,0.015819907,-0.025872819,9.86E+01,0.002394858,101.4848618,,,
9/1/97,100.3102584,-0.025069587,0.025609471,1.05E+02,-0.00438871,102.4053734,,,
10/1/97,101.6519205,0.013286466,-9.65E-05,1.00E+02,-0.000203136,100.2898818,,,
11/1/97,100.8502214,-0.007917973,0.001014187,1.02E+02,0.000258775,101.6782255,,,
12/1/97,102.3366112,0.01463103,0.000491681,1.01E+02,0.001353679,100.9867403,,,
1/1/98,101.937535,-0.003907266,-0.005242112,1.02E+02,0.003164001,102.6604044,,,
2/1/98,101.1292209,-0.00796111,-0.005582809,1.01E+02,-0.006370338,101.2881585,,,
3/1/98,98.67498453,-0.024567649,0.000613449,1.01E+02,-0.007005135,100.420797,,,
4/1/98,101.5262008,0.028485436,0.003731817,9.90E+01,0.02110376,100.7573977,,,
5/1/98,101.7065806,0.001775105,0.000946829,1.02E+02,4.43E-05,101.5306935,,,
6/1/98,102.080293,0.003667683,0.00708759,1.02E+02,-0.009381775,100.7523923,,,
7/1/98,103.0371294,0.009329713,0.00273088,1.02E+02,0.000470923,102.1283649,,,
8/1/98,100.6014449,-0.023922783,0.00030696,1.03E+02,0.001417175,103.1831511,,,
9/1/98,102.528611,0.018975271,-0.000244254,1.01E+02,0.000905488,100.6925383,,,
10/1/98,102.8682908,0.003307549,0.003395305,1.03E+02,-0.001572965,102.3673371,,,
11/1/98,99.96599113,-0.0286194,-0.003288836,1.03E+02,-0.001478211,102.7162298,,,
12/1/98,102.3343648,0.023415499,-0.003373214,9.96E+01,-0.00021557,99.94444147,,,
1/1/99,101.4328388,-0.008848646,-1.33E-07,1.02E+02,-5.37E-07,102.3343099,,,
2/1/99,101.6279299,0.001921505,-5.04E-07,1.01E+02,-3.13E-06,101.4325214,,,
3/1/99,102.1074973,0.004707756,-6.11E-07,1.02E+02,2.42E-06,101.6281756,,,
4/1/99,101.2064166,-0.008863993,0.008967035,1.03E+02,-0.003469841,101.7532005,,,
5/1/99,100.2125075,-0.009869154,0.00064451,1.01E+02,-0.007403235,100.4571617,,,
6/1/99,100.63194,0.004176696,-0.019879434,9.82E+01,0.000605188,100.2731549,,,
7/1/99,100.2105742,-0.004195989,0.038351689,1.04E+02,0.004690337,101.1039378,,,
8/1/99,100.3899907,0.001788794,-0.008674789,9.93E+01,-0.00419921,99.78976897,,,
9/1/99,102.5735093,0.021517198,-0.025965182,9.78E+01,0.003220589,100.7133055,,,
10/1/99,101.296867,-0.012524223,-0.000994084,1.02E+02,0.013266323,103.9342827,,,
11/1/99,103.1628826,0.018253641,0.008977245,1.02E+02,-0.00225218,101.0687282,,,
12/1/99,103.3883759,0.002183413,0.007316258,1.04E+02,0.004285277,103.6049642,,,
1/1/00,101.5159591,-0.018276518,0.001344158,1.04E+02,-0.000182286,103.3695296,,,
2/1/00,102.2757472,0.007456551,-0.0040015,1.01E+02,-0.000218023,101.4938263,,,
3/1/00,103.7788542,0.014589663,0.001755305,1.02E+02,-0.000501728,102.2244327,,,
4/1/00,100.372626,-0.033372712,-0.00938962,1.03E+02,-0.026499508,101.0287656,,,
5/1/00,100.913124,0.005370468,-0.002792932,1.00E+02,-0.008571864,99.51224549,,,
6/1/00,101.6768823,0.007539976,-0.002912502,1.01E+02,0.019976318,102.9289967,,,
7/1/00,101.4246594,-0.002483713,-0.00032963,1.02E+02,-0.000441529,101.6319889,,,
8/1/00,101.0837794,-0.003366579,-0.0005268,1.01E+02,-0.001121126,101.3109496,,,
9/1/00,100.3334305,-0.007450727,0.000457743,1.01E+02,0.001163969,101.2014377,,,
10/1/00,103.0230501,0.026453806,0.151353717,1.16E+02,0.009327613,101.2693019,,,
11/1/00,103.7135756,0.006680268,-0.753722012,2.54E+01,0.010710418,104.12647,,,
12/1/00,102.9644969,-0.007248781,0.624765217,1.69E+02,0.002358895,103.958225,,,
1/1/01,102.8772994,-0.000847228,-0.006473507,1.02E+02,-0.003343386,102.6202468,,,
2/1/01,101.2464341,-0.015979523,-0.005124783,1.02E+02,-0.009060891,101.9451393,,,
3/1/01,101.079486,-0.001650289,-0.003031573,1.01E+02,-0.002225586,101.0211015,,,
4/1/01,102.9491711,0.018328185,0.060656227,1.07E+02,0.004449406,101.5292297,,,
5/1/01,102.7378186,-0.00205509,-0.004745239,1.02E+02,0.00902641,103.8784325,,,
6/1/01,103.436044,0.006773197,-0.043149471,9.83E+01,-0.000714298,102.6644332,,,
7/1/01,102.844989,-0.005730596,0.001563162,1.04E+02,-0.004469757,102.97371,,,
8/1/01,100.0077276,-0.027975434,-0.017502217,1.01E+02,-0.000902633,102.7521577,,,
9/1/01,102.0372821,0.020090798,0.002150742,1.00E+02,-0.008415924,99.16607014,,,
10/1/01,100.6049362,-0.014136933,0.001603448,1.02E+02,-0.003890337,101.6403226,,,
11/1/01,101.6828124,0.010656962,-0.002972447,1.00E+02,0.000966053,100.7021259,,,
12/1/01,102.1584597,0.004666848,-8.76E-05,1.02E+02,0.001467649,101.8320471,,,
1/1/02,104.494886,0.022612998,0.003349105,1.03E+02,0.011016729,103.2839118,,,
2/1/02,105.2144135,0.006862169,0.001949361,1.05E+02,0.012455193,105.79639,,,
3/1/02,102.1043089,-0.030005373,0.018612716,1.07E+02,0.00043926,105.26063,,,
4/1/02,101.5249982,-0.005689872,-0.011515691,1.01E+02,-0.00396885,101.6990723,,,
5/1/02,101.7440929,0.002155711,0.002165553,1.02E+02,-0.007447018,100.7689397,,,
6/1/02,102.3164834,0.005610021,-0.010825612,1.01E+02,-0.00875988,100.8528269,,,
7/1/02,100.9336891,-0.013607031,0.001318154,1.02E+02,0.001090333,102.4280425,,,
8/1/02,103.4472833,0.024598385,0.002094232,1.01E+02,0.001089653,101.0436717,,,
9/1/02,101.9655285,-0.014427342,-0.000925421,1.03E+02,0.000306979,103.4790394,,,
10/1/02,102.2824643,0.003103443,0.000401669,1.02E+02,0.00079859,102.0469572,,,
11/1/02,102.4329604,0.001470296,-0.000483063,1.02E+02,-0.000637034,102.2173069,,,
12/1/02,101.9759088,-0.004471943,0.00120639,1.03E+02,0.00096344,102.5316485,,,
1/1/03,102.5499499,0.0056134,0.006007636,1.03E+02,-0.003517099,101.6172494,,,
2/1/03,101.1525802,-0.013719924,-0.007679948,1.02E+02,-0.002369137,102.3069951,,,
3/1/03,101.1415693,-0.00010886,-0.004369005,1.01E+02,-0.000155081,101.1368934,,,
4/1/03,100.982609,-0.001572898,-0.000633462,1.01E+02,4.96E-05,101.146591,,,
5/1/03,102.332858,0.0132825,0.003003768,1.01E+02,0.002493216,101.2343805,,,
6/1/03,102.2632208,-0.000680729,3.65E-05,1.02E+02,-0.000136047,102.318936,,,
7/1/03,102.3564184,0.000910936,-0.092056096,9.28E+01,-0.001173926,102.1431713,,,
8/1/03,103.2518857,0.008710474,0.05217677,1.08E+02,0.002336226,102.5955461,,,
9/1/03,101.6884744,-0.015257528,0.045485996,1.08E+02,0.00444437,103.7107752,,,
10/1/03,102.3243148,0.006233358,-0.006957553,1.01E+02,-0.116365373,89.85545715,,,
11/1/03,100.062423,-0.022353105,-0.004328207,1.02E+02,-0.078838162,94.25725385,,,
12/1/03,100.5891964,0.005250639,-0.002874849,9.98E+01,0.181042925,118.1780167,,,
1/1/04,100.6989675,0.001090685,0.000134353,1.01E+02,-0.000661033,100.5227036,,,
2/1/04,101.5694982,0.00860773,0.000504896,1.01E+02,0.000773734,100.7768817,,,
3/1/04,100.9680082,-0.00593956,0.000220316,1.02E+02,0.000746865,101.6453569,,,
4/1/04,101.9389174,0.009570069,-0.001337096,1.01E+02,-0.001575195,100.8089639,,,
5/1/04,99.62526868,-0.022957951,-0.000921804,1.02E+02,-0.000595097,101.8782538,,,
6/1/04,100.7559206,0.01128513,-0.000767631,9.95E+01,-0.000856239,99.53996564,,,
7/1/04,102.1869463,0.014102979,0.002320656,1.01E+02,0.005142556,101.2740635,,,
8/1/04,101.6728649,-0.005043491,0.00743533,1.03E+02,0.003029974,102.4965702,,,
9/1/04,101.9144667,0.002373447,0.001604778,1.02E+02,0.003188235,101.9970218,,,
10/1/04,101.2494062,-0.006547058,-0.007915573,1.01E+02,-0.004591244,101.4465525,,,
11/1/04,101.1457893,-0.001023907,-0.003522845,1.01E+02,-0.002477172,100.998594,,,
12/1/04,101.0400117,-0.00104634,0.003759345,1.02E+02,-0.000610659,101.0840237,,,
1/1/05,101.6081308,0.005606965,-0.005027345,1.01E+02,0.008934429,101.9427465,,,
2/1/05,101.4877675,-0.001185285,0.003899977,1.02E+02,-0.007414594,100.8547478,,,
3/1/05,102.2246057,0.007234135,0.007321324,1.02E+02,0.00467412,101.9621336,,,
4/1/05,101.2643669,-0.009437817,0.001432325,1.02E+02,-0.000233538,102.2007324,,,
5/1/05,100.2241277,-0.010325637,-0.004016517,1.01E+02,-0.003239203,100.9363511,,,
6/1/05,102.5180635,0.022630058,-0.001728591,1.00E+02,-0.000840044,100.139935,,,
7/1/05,101.196272,-0.012977094,0.00125955,1.03E+02,-0.000806311,102.4354021,,,
8/1/05,100.6954404,-0.004961399,-0.001235492,1.01E+02,-9.09E-05,101.1870753,,,
9/1/05,101.9204438,0.012092027,-0.000663729,1.01E+02,0.000257521,100.7213716,,,
10/1/05,101.5905822,-0.00324171,0.009144475,1.03E+02,0.002479741,102.1731801,,,
11/1/05,102.8596089,0.012414202,0.001234665,1.02E+02,0.003479487,101.9440653,,,
12/1/05,102.032969,-0.008069052,-0.001625932,1.03E+02,0.002793981,103.1469967,,,
1/1/06,102.3746893,0.003343521,-0.000968455,1.02E+02,9.77E-05,102.0429368,,,
2/1/06,100.7083233,-0.016411056,0.001906315,1.03E+02,0.000120409,102.3870161,,,
3/1/06,103.5261098,0.027595398,-0.000526952,1.01E+02,0.000192807,100.7277406,,,
4/1/06,102.6622823,-0.00837906,4.92E-06,1.04E+02,-0.000714611,103.4521289,,,
5/1/06,101.9537296,-0.00692571,-0.000215136,1.03E+02,-0.000198655,102.6418879,,,
6/1/06,101.9142249,-0.000387552,-4.71E-05,1.02E+02,0.00065595,102.0206061,,,
7/1/06,99.97331423,-0.019228234,-0.007421475,1.01E+02,0.021290788,104.0840591,,,
